Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
EFB,EFB,EFB,EFB,European 1% Fuel Oil Barges FOB Rdam (Platts) Average Price Option,Energy,Refined Products,European,Outrights,Options,NYMEX,0,0
IQ,IQ,IQ,IQ,"ANR, Oklahoma Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures",Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
2R,-,2R,2R,ERCOT West 345 kV Hub 50 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
FB,FB,FB,FB,Heating Oil 2 Month Calendar Spread Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,0
FC,FC,FC,FC,Heating Oil 3 Month Calendar Spread Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,0
FM,FM,FM,FM,Heating Oil 6 Month Calendar Spread Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,0
1E,-,-,-,Euro FX/British Pound Weekly Option Wk 1,FX,G10,-,-,Options,CME,0,0
ZC,AZC,ZC,ZC,RBOB Gasoline 3 Month Calendar Spread Options,Energy,Refined Products,North American,Spreads,Options,NYMEX,0,0
58,-,58,-,2-Year T-Note Flex Option,Interest Rate,US Treasury,-,-,Options,CBT,0,0
60,-,60P,-,5-Year T-Note Flex Option,Interest Rate,US Treasury,-,-,Options,CBT,0,0
9B,9B,9B,9B,Brent Crude Oil Last Day Financial Calendar Spread (2 Month) Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
9D,9D,9D,9D,Brent Crude Oil Last Day Financial Calendar Spread (3 Month) Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
9L,9L,9L,9L,Brent Crude Oil Last Day Financial Calendar Spread (6 Month) Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
9Y,9Y,9Y,9Y,Brent Crude Oil Last Day Financial Calendar Spread (12 Month) Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
G2,AG2,G2,G2,Natural Gas (Henry Hub) Last-day Financial 2 Month Spread Option,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
G6,G6B,G6,G6,Natural Gas (Henry Hub) Last-day Financial 6 Month Spread Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
G7,AG7,G7,G7,Natural Gas (Henry Hub) Last-day Financial 12 Month Spread Option,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
7B,7B,7B,7B,Light Sweet Crude Oil (WTI) Financial 2 Month Spread Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
7C,7C,7C,7C,Light Sweet Crude Oil (WTI) Financial 3 Month Spread Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
7M,7M,7M,7M,Light Sweet Crude Oil (WTI) Financial 6 Month Spread Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
7Z,7Z,7Z,7Z,Light Sweet Crude Oil (WTI) Financial 12 Month Spread Option,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
